t_sec,score,back_angle,head_fwd,shoulder_tilt,neck_angle,sitting,shrug,distracted
1.6,86,6.88,-9.95,11.09,33.64,1,0,0
2.6,83,9.15,17.67,8.1,24.63,1,0,0
3.6,62,7.02,41.07,49.55,20.93,1,0,0
4.6,85,7.33,15.08,9.37,26.5,1,0,0
5.5,76,7.17,17.18,30.06,24.14,1,0,0
6.4,81,7.18,15.32,18.81,25.85,1,0,0
7.3,79,7.28,19.08,23.06,24.81,1,0,0
8.2,79,7.17,15.91,23.36,25.54,1,0,0
9.2,83,7.2,8.09,18.46,27.08,1,0,0
10.1,78,7.28,22.65,21.63,24.46,1,0,0
11.0,69,7.34,25.97,42.6,22.35,1,0,0
12.0,84,8.01,-7.73,16.59,28.31,1,0,0
13.0,75,6.07,-4.12,45.38,39.82,1,0,0
13.9,75,7.58,24.83,27.0,22.69,1,0,0
14.8,73,7.1,19.71,35.72,23.1,1,0,0
15.8,73,7.25,25.82,32.56,22.18,1,0,0
16.7,46,7.5,100.65,50.07,12.01,1,0,0
17.7,42,7.96,110.74,50.46,10.51,1,0,0
18.8,43,8.69,105.16,51.33,11.77,1,0,0
19.8,44,8.57,103.63,51.96,11.12,1,0,0
20.7,44,8.03,103.73,62.2,10.51,1,0,0
21.7,80,6.69,17.07,22.65,24.65,1,0,0
22.6,79,6.93,14.44,25.76,24.88,1,0,0
23.6,78,8.26,-7.2,29.99,27.65,1,0,0
24.6,88,7.06,10.57,5.64,24.19,1,0,0
25.5,85,6.81,-9.28,15.42,32.9,1,0,0
26.5,68,6.56,44.56,34.9,20.21,1,0,0
27.4,56,15.33,34.52,60.74,51.92,1,0,0
28.5,64,10.83,21.03,63.4,23.88,1,0,0
29.5,80,8.24,-22.75,14.9,27.42,1,0,0
30.5,87,7.04,11.13,7.11,21.55,1,0,0
31.3,74,6.15,21.57,34.32,20.85,1,0,0
32.3,89,5.5,-8.51,8.93,28.84,1,0,0
33.3,81,5.23,4.42,31.01,23.53,1,0,0
34.2,79,5.65,11.17,30.03,21.99,1,0,0
35.2,84,5.43,-11.52,18.37,26.84,1,0,0
36.1,79,4.47,14.7,30.31,20.17,1,0,0
37.0,75,5.25,20.01,36.06,20.15,1,0,0
37.9,75,5.54,19.76,34.27,20.54,1,0,0
38.9,79,5.53,16.54,27.41,21.94,1,0,0
39.8,76,5.9,18.43,31.88,22.04,1,0,0
40.9,43,7.02,133.44,88.94,5.99,1,0,0
42.0,42,8.42,151.49,106.17,17.28,1,0,0
43.4,49,7.4,88.69,73.67,2.93,1,0,0
44.5,65,5.84,32.76,56.03,18.14,1,0,0
45.5,66,5.97,32.12,48.92,18.08,1,0,0
46.5,66,5.81,30.09,57.2,17.81,1,0,0
47.4,67,5.65,29.0,55.78,18.0,1,0,0
48.3,81,5.99,-2.45,31.13,26.88,1,0,0
49.3,89,6.18,8.21,6.38,27.76,1,0,0
50.2,87,4.61,-1.8,18.74,25.32,1,0,0
51.1,84,4.87,-32.05,5.31,33.39,1,0,0
52.1,87,4.91,-27.77,1.83,31.98,1,0,0
53.1,87,4.44,-30.74,0.95,32.62,1,0,0
54.0,64,5.46,37.94,52.49,15.99,1,0,0
55.0,83,4.86,13.58,19.92,21.91,1,0,0
56.0,91,4.15,-1.46,11.15,26.07,1,0,0
56.9,90,4.29,-0.96,13.18,26.37,1,0,0
57.8,91,4.19,-1.68,10.82,26.6,1,0,0
58.7,90,4.11,0.54,14.07,25.92,1,0,0
59.6,92,4.08,-0.29,10.54,25.84,1,0,0
60.4,92,4.04,-2.23,7.43,26.38,1,0,0
61.4,93,4.02,0.56,5.79,25.57,1,0,0
62.4,93,4.11,0.39,5.86,26.28,1,0,0
63.4,80,6.19,25.49,18.77,22.67,1,0,0
64.3,81,8.21,-11.84,19.93,33.2,1,0,0
65.3,64,10.87,-27.75,45.75,38.18,1,0,0
66.4,78,8.46,-32.19,12.6,40.13,1,0,0
67.5,86,6.51,16.75,7.86,24.2,1,0,0
68.4,90,4.88,-6.45,9.42,29.3,1,0,0
69.4,91,4.66,5.64,7.2,24.1,1,0,0
70.4,88,4.54,8.4,13.46,24.33,1,0,0
71.4,88,5.33,2.66,15.52,27.92,1,0,0
72.9,88,5.09,6.22,12.81,25.28,1,0,0
74.7,88,5.08,1.89,17.28,27.77,1,0,0
75.6,88,5.29,10.36,10.51,24.5,1,0,0
